[2016-07-21 15:32:20,079] DEBUG    PluginManager Loading plugin: Newsfeed
[2016-07-21 15:32:20,080] DEBUG    PluginManager New plugin registered to: UiWebsocket
[2016-07-21 15:32:20,080] DEBUG    PluginManager New plugin registered to: User
[2016-07-21 15:32:20,080] DEBUG    PluginManager Loading plugin: Stats
[2016-07-21 15:32:20,086] DEBUG    PluginManager New plugin registered to: UiRequest
[2016-07-21 15:32:20,086] DEBUG    PluginManager Loading plugin: AnnounceZero
[2016-07-21 15:32:20,087] DEBUG    PluginManager New plugin registered to: Site
[2016-07-21 15:32:20,087] DEBUG    PluginManager Loading plugin: CryptMessage
[2016-07-21 15:32:20,098] DEBUG    - opensslVerify loaded: <CDLL 'libssl.so.1.0.0', handle 28593d0 at 7f4701b00090>
[2016-07-21 15:32:20,099] INFO     - OpenSSL loaded, version: 01000106F
[2016-07-21 15:32:20,099] DEBUG    PluginManager New plugin registered to: UiWebsocket
[2016-07-21 15:32:20,099] DEBUG    PluginManager New plugin registered to: User
[2016-07-21 15:32:20,099] DEBUG    PluginManager Loading plugin: Trayicon
[2016-07-21 15:32:20,100] DEBUG    PluginManager Loading plugin: Sidebar
[2016-07-21 15:32:20,100] DEBUG    PluginManager New plugin registered to: UiRequest
[2016-07-21 15:32:20,100] DEBUG    PluginManager New plugin registered to: UiWebsocket
[2016-07-21 15:32:20,101] DEBUG    - Config: Config(action='main', batch=False, coffeescript_compiler=None, config_file='phantom.conf', connected_limit=15, data_dir='data', debug=False, debug_gevent=False, debug_socket=False, disable_db=False, disable_encryption=False, disable_sslcompression=True, disable_udp=False, fileserver_ip='*', fileserver_port=15441, homepage='1CQTfYmebR1bP75PCUata417NffWyL6AXf', ip_external=None, keep_ssl_cert=False, log_dir='log', max_files_opened=2048, msgpack_purepython=True, open_browser=None, proxy=None, size_limit=10, stream_downloads=False, tor='disable', tor_controller='127.0.0.1:9051', tor_proxy='127.0.0.1:9050', trackers=['zero://boot3rdez4rzn36x.onion:15441', 'zero://boot.zeronet.io#f36ca555bee6ba216b14d10f38c16f7769ff064e0e37d887603548cc2e64191d:15441', 'udp://tracker.coppersurfer.tk:6969', 'udp://tracker.leechers-paradise.org:6969', 'udp://9.rarbg.com:2710', 'http://tracker.aletorrenty.pl:2710/announce', 'http://explodie.org:6969/announce', 'http://torrent.gresille.org/announce'], trackers_file=False, ui_ip='127.0.0.1', ui_port=53903, ui_restrict=False, use_openssl=True, use_tempfiles=False, verbose=False)
[2016-07-21 15:32:20,101] INFO     - Version: 0.1a r1098, Python 2.7.6 (default, Jun 22 2015, 17:58:13) 
[GCC 4.8.2], Gevent: 1.1.1
[2016-07-21 15:32:20,107] DEBUG    PluginManager New class accepts plugins: Site (Loaded plugins: [<class 'AnnounceZero.AnnounceZeroPlugin.SitePlugin'>, <class 'Site.Site.Site'>])
[2016-07-21 15:32:20,113] DEBUG    - Disabled SSL compression on <CDLL 'libssl.so.1.0.0', handle 28593d0 at 7f4701a24510>
[2016-07-21 15:32:20,114] DEBUG    - Python SSL version: OpenSSL 1.0.1f 6 Jan 2014
[2016-07-21 15:32:20,123] DEBUG    PluginManager New class accepts plugins: User (Loaded plugins: [<class 'CryptMessage.CryptMessagePlugin.UserPlugin'>, <class 'Newsfeed.NewsfeedPlugin.UserPlugin'>, <class 'User.User.User'>])
[2016-07-21 15:32:20,124] DEBUG    PluginManager New class accepts plugins: UiWebsocket (Loaded plugins: [<class 'Sidebar.SidebarPlugin.UiWebsocketPlugin'>, <class 'CryptMessage.CryptMessagePlugin.UiWebsocketPlugin'>, <class 'Newsfeed.NewsfeedPlugin.UiWebsocketPlugin'>, <class 'Ui.UiWebsocket.UiWebsocket'>])
